id,datetime,document_text,city
1,2024-12-18 16:16:00,Camera at 4606 Cedar Ave backyard fogging up during rain. Weatherproof housing gasket had deteriorated. Replaced housing seal and applied anti-fog treatment to lens cover.,Lehi
2,2025-01-14 12:13:00,Window sensor at 9963 Redwood Rd side door stuck in open status. Magnet had shifted due to window settling. Reinstalled magnet with proper spacing and tested open/close cycle.,Salt Lake City
3,2025-11-02 14:25:00,Installed Smart Hub panel with 10 door/window sensors and 5 outdoor cameras at 7024 Prairie Cir. Job took 2.7 hours including customer walkthrough. Customer mentioned this was much better than their previous provider.,Salt Lake City
4,2024-04-22 09:40:00,Keypad at 7012 Hickory Dr displaying error code E-44. Reset keypad and re-enrolled to panel. Issue was caused by corrupted firmware — reflashed and keypad is operational.,Lehi
5,2026-01-09 18:16:00,Camera at 2647 Highland Ave back patio fogging up during rain. Weatherproof housing gasket had deteriorated. Replaced housing seal and applied anti-fog treatment to lens cover.,Provo
6,2026-01-19 14:52:00,Video feed from 3757 Elm Ct pool area camera cutting out intermittently. Traced to loose BNC connector at camera end. Re-terminated cable and secured connection — feed is stable.,Salt Lake City
7,2025-08-25 15:14:00,"New system install at 6324 Southpark Rd finished in 4.1 hours. Set up 7 entry sensors, 1 motion detectors, and a smart thermostat integration. Customer asked about adding cameras to the package in the future.",Salt Lake City
8,2024-08-07 15:08:00,Customer at 1619 Northfield Blvd complained panel touchscreen was sluggish and freezing. Firmware update resolved the issue — panel was running version from 2023. All zones tested OK after update.,Salt Lake City
9,2024-07-13 15:28:00,Service call at 1524 Cherry Pl for app not updating sensor status. Panel Wi-Fi was connected but DNS was failing. Reconfigured network settings and restored real-time status updates.,Lehi
10,2024-01-03 13:16:00,Difficult install at 7024 Prairie Cir due to pre-existing wiring damage behind walls. Spent 8.8 hours on-site. Customer requested callback from supervisor.,Salt Lake City
11,2024-02-21 16:30:00,Video feed from 2647 Highland Ave front porch camera cutting out intermittently. Traced to loose BNC connector at camera end. Re-terminated cable and secured connection — feed is stable.,Lehi
12,2024-07-28 17:45:00,"Standard install at 3357 Summit Dr with 11 door/window sensors, 1 motion detectors, smoke detector, and CO detector. Completed in 2.4 hours. Customer said the system was exactly what they needed for peace of mind.",Lehi
